PlayerPos,ObstacleXPos,CoinXPos
285.6,343,285
292.8,450,401
400.8,450,401
225.6,527,225
225.6,527,225
479.4,527,178
398.4,478,178
177.6,478,178
253.8,611,254
253.8,611,254
565.2,611,583
538.2,341,263
262.8,341,263
296.4,234,364
363.6,234,364
569.4,187,570
570,187,570
454.8,187,455
589.2,400,589
589.2,400,589
486.6,357,487
487.2,357,487
397.8,357,371
397.8,448,192
192.6,448,192
254.4,571,254
253.8,571,254
468.6,571,469
447.6,464,314
313.8,464,314
425.4,611,596
596.4,611,596
510.6,483,511
510.6,483,511
518.4,483,493
519,498,513
520.8,498,513
533.4,195,352
351.6,195,491
491.4,600,491
490.8,600,491
633,600,611
633,506,178
301.2,506,366
366,282,366
366,282,366
313.2,307,309
309,307,309
563.4,307,563
424.8,564,256
256.2,564,256
493.2,352,493
493.2,352,493
258.6,352,258
316.2,620,519
518.4,620,519
177.6,566,177
389.4,400,392
392.4,400,392
215.4,490,215
214.8,490,215
243,490,243
234.6,334,235
235.2,334,235
199.2,526,199
198.6,526,199
479.4,526,289
441.6,527,289
288.6,527,289
252.6,258,252
252.6,258,252
373.2,361,373
373.2,361,373
597.6,361,598
522.6,506,523
523.2,506,523
421.2,203,421
421.2,203,421
258.6,203,259
315.6,482,316
316.2,482,316
251.4,577,251
251.4,577,251
538.2,205,595
565.2,205,189
243.6,205,463
321.6,279,463
462.6,279,463
393.6,530,394
393.6,530,394
392.4,530,393
385.2,379,290
290.4,379,290
288,591,288
288,591,288
556.8,223,608
607.8,223,608
426.6,223,427
366,328,366
366.6,328,366
543,234,543
542.4,234,543
431.4,234,432
450.6,566,456
455.4,566,456
424.2,276,424
423.6,276,424
413.4,201,413
412.8,201,413
336.6,201,337
297.6,204,297
297.6,204,297
444,474,444
444,474,444
313.8,474,314
321.6,556,407
407.4,556,407
470.4,277,471
470.4,277,471
510,438,510
510,438,510
566.4,438,567
500.4,488,358
357.6,488,358
378,320,378
378,320,378
615,226,615
403.2,193,358
358.2,193,358
268.8,599,269
269.4,599,269
519.6,599,520
355.2,559,226
226.2,559,226
511.8,494,618
600.6,494,618
448.2,494,559
448.2,229,559
558.6,229,559
566.4,512,567
567,512,567
411,311,411
411,311,411
567,311,567
398.4,441,255
255,441,255
399,188,609
546.6,188,274
273.6,188,274
294.6,625,295
294.6,625,295
267.6,553,267
267.6,553,267
192,183,192
192,183,192
392.4,183,393
535.8,244,623
622.8,244,623
515.4,375,516
516,375,516
212.4,375,212
283.8,228,350
349.8,228,350
316.2,353,316
315.6,353,316
517.8,479,518
518.4,479,518
235.2,479,235
394.2,269,620
619.8,269,620
474,369,474
473.4,369,474
523.2,369,523
442.8,380,352
349.8,380,352
230.4,312,230
229.8,312,230
217.2,622,217
217.2,622,217
425.4,622,425
319.8,215,320
319.8,215,320
551.4,394,551
550.8,394,551
617.4,394,618
595.8,517,596
596.4,517,596
450,198,450
247.8,231,201
201.6,231,201
493.8,342,494
494.4,342,494
390,342,378
389.4,295,181
180.6,295,181
248.4,513,504
409.8,513,538
558.6,513,538
577.2,418,577
576.6,418,577
462.6,437,247
247.8,437,247
254.4,341,254
253.8,341,254
298.2,341,300
298.2,474,312
312.6,474,312
375.6,544,375
375,544,375
321.6,544,322
422.4,519,433
433.2,519,433
246.6,473,247
247.2,473,247
225.6,473,226
261,576,489
488.4,576,489
537.6,287,555
555,287,555
333.6,577,333
333.6,577,333
316.8,577,317
452.4,502,462
462,502,462
312,439,312
312,439,312
333.6,439,333
394.8,568,434
433.8,568,434
306,290,306
306.6,290,306
573,433,573
572.4,433,573
183,433,180
324.6,525,496
496.2,525,496
316.2,575,316
315.6,575,316
463.8,575,464
403.8,513,347
347.4,513,347
265.2,204,265
265.2,204,265
529.2,537,529
529.2,537,529
226.2,537,226
350.4,392,452
451.8,392,452
470.4,209,470
470.4,209,470
270.6,209,271
309.6,337,324
313.8,337,324
