PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
219.6,428,450.4,219,563,0
219,428,550.4,219,688,0
219.6,428,578.4,219,723,0
273.6,428,650.4,435,40,1
348.6,428,750.4,435,165,1
378,428,850.4,435,289,1
435,387,296.4,435,723,0
319.8,387,450,205,142,0
244.8,387,550,205,267,0
205.2,387,850.8,205,642,1
205.2,537,14,205,723,0
293.4,537,450,293,495,0
292.8,537,550,293,620,0
293.4,537,632.4,293,723,1
457.2,537,850.8,518,222,1
518.4,489,350,518,723,0
443.4,489,450,312,75,0
368.4,489,550,312,200,0
312,489,850.8,312,575,1
312.6,462,67.6,312,723,0
395.4,462,450,395,428,0
394.8,462,550,395,553,0
394.8,462,686,395,723,1
412.8,462,850.8,499,155,1
498.6,445,403.6,499,723,0
493.8,445,450,217,8,0
494.4,445,550,217,133,0
494.4,445,850.8,217,508,1
289.8,306,222.8,217,850,0
445.8,306,450,446,234,0
446.4,306,550,446,359,0
446.4,306,841.2,446,723,1
439.2,306,850.8,289,-39,1
317.4,268,450,289,587,0
316.8,268,550,289,712,0
316.8,268,578.8,289,748,0
441.6,268,850.8,442,289,1
442.2,365,296.4,442,723,0
453,365,450,453,142,0
452.4,365,550,453,267,0
452.4,365,850.8,453,642,1
452.4,184,14,453,723,0
519,184,450,519,495,0
518.4,184,550,519,620,0
519,184,632.4,519,723,1
403.2,184,850.8,403,222,1
403.2,220,350,403,723,0
478.2,220,450,551,75,0
550.8,220,550,551,200,0
550.8,220,850.8,551,575,1
551.4,405,67.6,551,723,0
497.4,405,450,497,428,0
496.8,405,550,497,553,0
496.8,405,686,497,723,1
452.4,405,850.8,316,155,1
318.6,286,403.6,316,723,0
353.4,286,450,462,8,0
428.4,286,550,462,133,0
462,286,850.8,462,508,1
462,248,121.2,462,723,0
395.4,248,450,395,361,0
394.8,248,550,395,486,0
395.4,248,739.6,395,723,1
478.8,248,850.8,588,88,1
587.4,223,450,588,714,0
588,223,457.2,588,723,0
518.4,223,550,440,66,0
440.4,223,850.8,440,441,1
